Produit,NoteP,NoteC,Pays,Commentaire
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,1,France,J'ai acheté cette clef en remplacement de la carte WiFi de mon PC portable  en panne et non remplaçable. Je l'ai choisie malgré son prix élevé en pensant obtenir un produit de qualité  et avec les performances de débit du WiFi 6. Elle n'est malheureusement pas à la hauteur : même à environ 2 m de ma freebox le wifi se déconnecte très fréquemment  et a souvent des difficultés à se reconnecter. À 3 m  impossible de maintenir la connexion. Soit l'exemplaire livré est défectueux  soit c'est le produit générique qui a de mauvaises performances  en tout cas cette clé coûte cher et se révèle quasiment inutilisable en pratique.
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,1,France,Doté d'une nouvelle box wifi6  j'ai acquis ce produit. Très déçu par cette clé wifi 6 dont les piètres qualités (décrochages fréquents  faible vitesse) rendent mon pc moins moins performant qu'avec sa vieille carte réseau 100/1000. 40€ pour une daube... A fuir!
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,1,France,Après une installation assez rapide et simple malheureusement je ne trouve pas de différences avec une clé avec une moins grosse capacité de connexion point de vue vitesse de connexion dommage
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,1,France,Ne fonctionne pas. J'ai installé le driver recommandé. La clef ne trouve que la version normal de ma freebox pas la version 5g plus rapide. Et pas moyen de se connecter non plus à la version standard. Alors que ça fonctionne avec mon ancienne clef wifi. Le code est le bon. Message: Nous n'avons pas pu nous connecter à ce réseau Dommage...
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,1,France,Reconnu par le pc mais connection impossible aux différents réseaux wi-fi ( 5 et 6 )
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,1,France,Le produit a arrêté de fonctionner après quelques mois (7 mois). J'ai envoyé une réclamation (SAV en Chine)  je n'ai reçu aucun retour. J'ai racheté une clé WIFI chez Boulanger à 24€  ça marche aussi bien.
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,1,France,Impossible de l'installer sur mon ordinateur  ça ne fonctionne pas
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,1,France,La clé se déconnecte sans cesse. Je suis très déçue du produit qui coûte très cher 😡
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,1,France,Facile a installer et cest bien la seul chose qui est facile avec cette objet . Il n arrive meme pas a se connecte a un réseaux alor que cest la principal fonctionne de cette clé inutile
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,1,France,Matériel de très mauvaise qualité. Quand elle fonctionne  le débit est correct  mais la clé se déconnecte tout le temps. Au début  les déconnexions se produisaient une fois toutes les demi-heures  et quelques temps après  toutes les 5 minutes.  Je déconseille très fortement cet achat.
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,2,France,Ça ne capte vraiment pas mieux qu'une autre clé. Pour le prix ça ne vaut pas le coup.
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,2,France,Moué.... La box est à l'étage en dessous et bah ça fait pas trop le taf. Par contre à proximité le débit est impressionnant. Dommage.
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,2,France,Débit pas très important
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,2,France,Clé facile a installer mais avec des débits réels très loin de ceux annoncés
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,2,France,La clef ne marche pas sous windows 11 et aucun driver n'est disponible.
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,2,Italie,Mi serviva per un computer fisso senza doverlo collegare alla rete Ethernet. Sono io che ho interpretato che potesse fungere anche da antenna. Inoltre già dalla presentazione la confezione mi sembrava che fosse già stata aperta: il cellophane del coperchio della chiavetta era già separato da quello del corpo della chiavetta stessa. Alla ditta produttrice: per il costo e per come viene presentata mi aspettavo una confezione un po’ più degna del prodotto  da quanto riferito.
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,2,États-Unis,Installed easily  gets a fast  stable wifi 6 connection (in a computer that's only 6 feet from the router  I haven't tried it at any distance). But  it's a nuisance to use it because it doesn't reconnect easily after hibernating the computer. Sometimes it will reconnect eventually (takes several minutes)  and sometimes not at all. Using the internet icon in the windows taskbar to disconnect and reconnect the wifi fixes it  but sometimes it needs to be done more than once. Hopefully it's bug in the driver not handling errors properly so I can get an update for it  but the driver on their website is nine months old and they haven't fixed it. I don't consider this unit ready to be marketed to the public yet.  Update: The seller offered me a refund in return for deleting this review. That's cheating. This is a VERY annoying product. I only reboot my computer once a month  the rest of the time I use hibernate. This product causes a lot of wasted time waiting for the internet to reconnect  and worse  once in a while it won't reconnect and causes an extra reboot. I've partially solved it by installing a switch box to share a wired connection when another computer isn't using it  but I hope they get a driver update for this thing soon  because I still need to use it a couple of times a week.  2nd update: I discovered that this product (or probably the software for it) disrupts a hard wired internet connection periodically if the dongle is left in the computer but not connected to any wifi networks. The wired connection was dropping out fairly often for a few seconds at a time  before I found out that I have to physically unplug this dongle in order to get the internet to work right. Too much trouble - it's gone to the spare parts box. It may work for you if you don't use any other internet connections and reboot your computer every time you use it  but I can't recommend it for any other conditions.
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,2,Allemagne,Bestellt und kam auch schnell bei mir an. Treiber installiert und den Rechner neu gestartet. USB Stick würde nicht erkannt. Alles mögliche ausprobiert ohne Erfolg. Abgesteckt und wieder zurückgeschickt. Heutzutage sollte sowas ohne Probleme klappen.
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,2,Espagne,Muy inestable y nunca se conecta a la primera. unas veces hay que volver a instalar los drivers  resolver problemas  no reconoce redes cercanas.... Muy decepcionado.
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,2,Canada,I've tried everything. I hoped the updated drivers would fix the problem but it didn't.
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,3,France,Contrairement au message dans les commentaires qui indique un pilote win11 pour avril 2022  nous somme en septembre et le support m'a confirme par mail que win11 n'est pas supporte
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,3,Allemagne,Noch nicht getestet  Preis recht hoch
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,3,Espagne,Es más o menos estable oscilando entre 40 y 80 MByes por segundo. El problema principal es q en mi portátil Asus me tapa dos poertos USB de tal modo q para usarlo tienes q dedicar 3 puertos USB. Puedes usar un alargador o un hub  pero pierde algo de velocidad y ping por la multiplexación. Pero en velocidad de transmisión sí q se nota  aproximadamente el doble q con el wifi ac
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,3,Canada,This adapter is so large it blocks the other slots around it. High performance  but too large to be beneficial.
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,3,Allemagne,Mein PC hatte einen Ausfall der Netzwerkkarte  also kaufte ich diesen Stick.  Der PC steht ca. 40cm neben meiner 1000MBit/s Fritzbox.  Beim Geschwindigkeitstest kam ich auf max. 473MBit/s.  OK  schnell genug für gescheites Arbeiten  aber hält nicht das  was versprochen wird.
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,3,États-Unis,Not really seeing any difference on my computer  but my husband's computer (same model  etc as mine) is using the same product is faster. Not sure what is going on with the product and havent called tech support
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,4,France,Je suis en wifi 6 à la maison grâce à mon routeur TP link avec 2 répétiteurs et franchement la clé à reconnue directement le wifi 6 de la maison  les pilotes pour w10/11 sont directement à la racine de la clé  aucune obligation d'aller les chercher sur le site du constructeur.  Juste un peu grosse par rapport à certaines mais il faut bien mettre les antennes internes  donc un détail :)
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,4,France,Bon produit marche bien quelque beug réseau de temps en temps
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,4,France,Bonne clé
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,4,France,Loin des vitesses annoncés
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,4,France,sa marche bien merci
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,4,France,Wifi meilleur
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,4,France,Livraison ultra rapide cependant je trouve la performance moyenne car je ne suis pas au maximum de réception mais bon çà fonctionne ...
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,4,France,Pas grand chose à dire car impossible de pouvoir la mettre sur mon pc Windows 11. Du coup renvoyer et remboursement effectué directement. Très satisfaite
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,4,France,Pour le prix  je suis un peu déçu car cela arrive souvent que la clé se déconnecte et se reconnecte. Je suis sous windows 11. Mais le signal capte assez loin et par rapport à d'autre clé donné plis de débit.
BrosTrend Clé WiFi 6 USB Puissante AX1800 Mbps  Double Bande...,4,4,France,Bonjour  clé USB WiFi 6 performante en wifi 6. L'installation est un peu compliquée sur Windows 11.
